blockSize,time
2,5118
3,4298
4,4510
5,3738
6,3180.5
8,3162
9,3136
10,3024
12,3094.5
15,2959
16,2917
18,2827
20,2931.5
24,2864.5
30,3044
32,2876
36,2835.5
40,2695
45,2710.5
48,2726.5
60,2713
64,2768
72,2778
80,2786
90,2922
96,2849.5
120,2960
144,3055.5
160,3130
180,3265
192,3253
240,3553
288,3860.5
320,4022.5
360,4440.5
480,5034.5
576,5468.5
720,6465.5
960,8260.5
