blockSize,time
2,529169
3,132403
4,74247.5
5,33614
6,25205
8,9186
9,7446.5
10,6597
12,5246.5
15,4070.5
16,3800.5
18,5085.5
20,6409.5
24,6296
30,4844.5
32,3075
36,2976
40,2919.5
45,3482.5
48,3150
60,2922.5
64,3072
72,2708
80,2791.5
90,3090
96,2773.5
120,5772
144,2885.5
160,2781.5
180,2713
192,2684
240,2752.5
288,2857
320,2947
360,3151
480,3082
576,3272.5
720,3305.5
960,4165
