blockSize,time
2,19298.5
3,15778
4,13625.5
5,12384
6,11762.5
8,10992
9,10988
10,10845.5
12,10411.5
15,10345.5
16,10271
18,10595
20,9769
24,9902.5
30,9584.5
32,10084.5
36,10027.5
40,10223.5
45,10008.5
48,10095
60,10114.5
64,9993
72,10033
80,9975.5
90,9731
96,9747.5
120,9703.5
144,9935.5
160,10121.5
180,10126.5
192,9962.5
240,10273
288,10458.5
320,10778
360,11063.5
480,11161
576,11668
720,12288
960,12500.5
